1
SKU,Quantity,Length,Width,Height,Weight,Strength,Aisle,Caustic
600591,1,463,303,115,12340,4,7,0,
601571,1,462,304,115,12100,4,6,0,
608864,1,412,308,120,11707,4,6,0,
699704,1,297,220,208,2613,3,10,0,
700352,1,307,228,115,5827,4,6,0,
700363,1,306,231,115,5720,4,6,0,
700404,1,311,229,226,11900,4,6,0,
700859,1,331,250,107,3333,3,6,0,
700976,1,307,230,112,6260,4,7,0,
700986,1,350,260,109,8540,4,6,0,
701080,1,305,227,117,5960,4,6,0,
701728,1,507,207,199,6280,3,6,0,
702589,1,353,261,101,3373,3,6,0,
702918,1,410,305,120,10740,4,6,0,
704025,1,290,170,286,9707,3,6,0,
704027,1,290,172,285,9787,3,6,0,
704044,1,290,172,288,9793,3,6,0,
704049,1,290,172,288,9767,4,6,0,
704759,1,445,261,215,6413,3,6,0,
704945,1,369,229,188,4573,2,6,0,
704948,1,309,243,334,9413,3,6,0,
705448,1,348,259,115,7507,4,7,0,
705459,1,348,259,115,7520,4,7,0,
707785,1,343,191,191,2420,2,6,0,
707902,1,333,191,195,2420,2,6,0,
708186,1,395,185,175,5520,3,6,0,
708198,1,303,131,174,2847,3,6,0,
710301,1,309,228,117,5780,4,6,0,
710303,1,309,229,118,5833,4,6,0,
711646,1,278,207,86,3480,4,6,0,
712748,1,338,224,88,4960,4,6,0,
713677,1,481,330,163,3840,3,6,0,
714146,1,292,221,134,6540,4,6,0,
716924,1,374,278,150,12393,4,6,0,
717852,1,351,260,100,3360,3,6,0,
717911,1,279,207,85,3500,4,6,0,
718855,1,309,227,117,5933,4,6,0,
720050,1,329,246,181,9260,4,6,0,
720600,1,308,227,115,6007,4,6,0,
721356,1,418,272,105,8540,4,7,0,
723017,1,573,256,185,3067,2,6,0,
723620,1,354,264,110,8380,4,6,0,
724354,1,332,251,108,3447,3,6,0,
728849,1,327,252,103,4780,4,6,0,
728889,1,311,229,116,5520,4,6,0,
728923,1,336,269,104,3553,3,6,0,
729650,1,308,228,118,5640,4,6,0,
731325,1,301,226,114,6000,4,6,0,
731408,1,279,209,148,5707,4,7,0,
731574,1,497,242,197,8113,4,6,0,
731999,1,277,207,86,3547,4,6,0,
733153,1,305,229,115,5900,4,7,0,
733715,1,292,224,135,6507,4,6,0,
733842,1,371,226,190,4567,3,6,0,
736672,1,462,301,114,12227,4,7,0,
736854,1,308,231,115,5987,4,6,0,
737013,1,311,231,115,6000,4,6,0,
737101,1,460,303,65,6847,4,7,0,
737103,1,352,265,147,10900,4,7,0,
737119,1,353,261,149,10847,4,7,0,
737218,1,324,242,132,7693,4,7,0,
737519,1,328,252,110,3287,3,6,0,
737729,1,351,259,150,10773,4,7,0,
738987,1,347,259,111,7627,4,7,0,
738995,1,345,259,114,7480,4,7,0,
739000,1,351,261,115,7460,4,7,0,
739002,1,413,275,208,16880,4,7,0,
739090,1,420,276,212,16920,4,7,0,
739135,1,413,275,105,8447,4,7,0,
739139,1,419,273,105,8507,4,7,0,
739214,1,253,209,135,1093,3,7,0,
739294,1,251,201,137,2193,3,7,0,
740714,1,306,230,114,6180,4,6,0,
741170,1,284,214,230,9120,4,6,0,
741173,1,245,180,212,6620,4,6,0,
746037,1,457,308,119,11920,4,7,0,
746430,1,345,261,132,8227,4,7,0,
747092,1,506,304,200,8260,4,6,0,
749046,1,326,243,130,7293,3,7,0,
750108,1,502,306,252,19800,4,6,0,
751518,1,462,303,115,12407,4,7,0,
756477,1,350,262,137,8900,4,7,0,
756546,1,440,181,163,1340,2,6,0,
757670,1,458,267,198,6453,4,6,0,
757908,1,327,243,131,7367,4,7,0,
759782,1,320,243,193,11560,4,7,0,
760192,1,293,168,290,8120,4,6,0,
761202,1,305,224,157,3653,3,6,0,
761682,1,278,208,84,3560,4,6,0,
761780,1,425,314,132,2853,3,6,0,
764492,1,308,256,204,3107,3,6,0,
765044,1,357,233,186,11553,4,6,0,
765369,1,463,303,105,11180,4,6,0,
765790,1,293,171,283,8920,4,6,0,
765934,1,382,203,142,1813,3,6,0,
765941,1,330,249,105,3400,3,6,0,
