1
SKU,Quantity,Length,Width,Height,Weight,Strength,Aisle,Caustic
700267,1,276,149,188,2500,3,7,0,
700281,1,281,148,195,2527,3,6,0,
700309,1,386,193,205,2207,3,6,0,
700936,1,289,211,168,7000,4,6,0,
700986,1,350,260,109,8540,4,6,0,
704028,1,293,170,283,9773,3,6,0,
704044,1,290,172,288,9793,3,6,0,
704078,1,459,305,115,11613,4,7,0,
704097,1,365,271,76,2980,4,6,0,
704256,1,367,272,71,3040,4,7,0,
704602,1,387,194,204,2340,3,6,0,
705451,1,348,259,115,7573,4,7,0,
705471,1,415,273,81,6780,4,7,0,
706155,1,394,202,177,11580,3,7,0,
706623,1,305,129,174,1780,3,6,0,
708175,1,306,133,171,3740,3,6,0,
708176,1,304,131,174,2300,3,6,0,
708198,1,303,131,174,2847,3,6,0,
708262,1,303,129,173,1840,3,6,0,
708263,1,305,132,173,2733,3,6,0,
713749,1,309,228,115,5760,4,6,0,
713855,1,277,203,82,3540,4,6,0,
717596,1,249,195,144,1033,3,7,0,
718245,1,287,284,193,8607,4,8,0,
718889,1,446,259,218,6087,4,6,0,
721356,1,418,272,105,8540,4,7,0,
722273,1,403,203,177,11493,4,7,0,
723035,1,247,188,166,5380,4,6,0,
723266,1,305,168,168,2600,3,6,0,
724280,1,314,231,114,6240,4,7,0,
727177,1,379,254,205,3393,3,6,0,
727182,1,355,264,114,8860,4,6,0,
727804,1,473,246,190,11527,4,6,0,
731999,1,277,207,86,3547,4,6,0,
733302,1,307,229,116,5840,4,7,0,
733736,1,409,272,103,8307,4,6,0,
736672,1,462,301,114,12227,4,7,0,
737013,1,311,231,115,6000,4,6,0,
738986,1,346,259,113,7527,4,7,0,
738995,1,345,259,114,7480,4,7,0,
739232,1,404,252,134,2120,3,7,0,
739306,1,309,227,115,5920,4,7,0,
740570,1,355,260,110,8560,4,6,0,
740702,1,390,304,158,2487,3,6,0,
740754,1,307,224,165,8767,4,6,0,
741176,1,315,237,245,11720,4,6,0,
746243,1,365,199,137,6127,3,6,0,
747075,1,500,200,202,8060,3,6,0,
747084,1,500,304,199,8300,3,6,0,
747090,1,500,308,200,8267,3,6,0,
747093,1,507,304,201,8300,3,6,0,
747095,1,507,206,199,8060,3,6,0,
748207,1,305,209,191,2287,2,6,0,
752324,1,404,265,221,8947,3,6,0,
754462,1,279,150,194,2493,3,7,0,
756686,1,353,261,69,4267,4,7,0,
758529,1,253,145,171,2220,3,7,0,
759528,1,311,229,117,5893,4,6,0,
760192,1,293,168,290,8120,4,6,0,
761198,1,282,206,84,3520,4,6,0,
761240,1,275,203,84,3527,4,6,0,
761256,1,327,245,91,4580,4,6,0,
761658,1,278,206,84,3083,4,6,0,
761880,1,217,183,172,1707,3,7,0,
762386,1,308,255,208,2480,3,6,0,
762575,1,535,224,81,867,2,6,0,
762673,1,416,309,120,11200,4,6,0,
763305,1,277,205,77,3120,4,7,0,
763558,1,308,178,142,6120,3,7,0,
764227,1,496,232,268,10980,4,6,0,
765043,1,358,233,189,11160,4,6,0,
765046,1,372,272,153,12127,4,6,0,
766270,1,354,261,68,4280,4,7,0,
767325,1,413,307,122,11320,4,6,0,
768211,1,500,303,198,8313,4,6,0,
768543,1,323,239,129,7320,4,7,0,
769412,1,413,274,77,6420,4,6,0,
769791,1,320,255,209,2527,3,6,0,
769851,1,507,299,205,7540,4,6,0,
769885,1,403,135,190,3220,3,6,0,
771759,1,600,301,211,10433,3,6,0,
772900,1,331,251,110,3387,3,6,0,
773849,1,401,274,201,5460,4,6,0,
773888,1,449,261,219,7713,4,6,0,
774964,1,305,228,117,5900,4,6,0,
779171,1,372,298,113,1080,2,6,0,
780145,1,308,170,162,3160,3,6,0,
781589,1,504,240,200,8153,4,6,0,
785085,1,307,227,114,5833,4,6,0,
786238,1,399,343,299,12327,4,6,0,
789728,1,437,181,165,1333,2,6,0,
792125,1,309,225,116,5853,4,6,0,
794864,1,441,242,152,6107,3,6,0,
795469,1,480,331,161,5120,4,6,0,
799888,1,253,245,205,3240,3,6,0,
