1
SKU,Quantity,Length,Width,Height,Weight,Strength,Aisle,Caustic
600591,1,463,303,115,12340,4,7,0,
701728,1,507,207,199,6280,3,6,0,
703671,1,306,132,175,2480,3,6,0,
704016,1,306,225,231,11713,4,7,0,
704044,1,290,172,288,9793,3,6,0,
704584,1,306,205,192,1860,2,6,0,
704798,1,391,196,207,2480,3,6,0,
705053,1,498,214,183,7087,3,6,0,
705218,1,348,259,149,9953,4,6,0,
705430,1,348,259,115,7387,4,7,0,
705911,1,293,173,285,9853,4,6,0,
707700,1,204,186,112,1933,3,6,0,
708212,1,308,205,192,2040,2,6,0,
708255,1,419,194,235,6200,3,6,0,
708260,1,303,134,173,2620,3,6,0,
708263,1,305,132,173,2733,3,6,0,
710303,1,309,229,118,5833,4,6,0,
714006,1,202,135,192,2000,3,7,0,
720600,1,308,227,115,6007,4,6,0,
723023,1,418,309,122,11267,4,6,0,
723041,1,307,231,114,6340,4,6,0,
723266,1,305,168,168,2600,3,6,0,
724174,1,310,230,115,5960,4,6,0,
724282,1,312,233,116,6120,4,7,0,
731307,1,245,147,141,1760,3,7,0,
733179,1,301,220,167,12280,4,6,0,
733187,1,306,224,165,8740,4,6,0,
736946,1,402,138,188,3180,2,7,0,
736957,1,392,200,201,2180,3,6,0,
736961,1,394,194,203,2193,3,6,0,
737101,1,460,303,65,6847,4,7,0,
738766,1,282,204,103,4220,4,7,0,
739139,1,419,273,105,8507,4,7,0,
739528,1,373,199,209,11660,3,7,0,
740751,1,311,218,168,8760,4,6,0,
741173,1,245,180,212,6620,4,6,0,
743521,1,405,263,114,2280,1,6,0,
743805,1,404,130,186,3340,3,6,0,
746239,1,274,202,104,4200,4,7,0,
746559,1,252,145,173,2200,3,7,0,
747085,1,506,202,199,8060,3,6,0,
747092,1,506,304,200,8260,4,6,0,
752322,1,423,310,208,9640,4,6,0,
753143,1,303,230,115,5960,4,7,0,
755086,1,307,227,113,5740,4,6,0,
756584,1,504,298,302,6140,3,6,0,
760194,1,505,243,201,6900,3,6,0,
760804,1,341,229,142,3740,3,6,0,
761233,1,304,229,114,5810,4,6,0,
761453,1,346,261,104,3313,4,6,0,
761795,1,426,283,127,2973,3,6,0,
762068,1,321,246,146,8900,4,6,0,
763098,1,316,228,225,12020,4,6,0,
763560,1,308,180,141,6240,3,7,0,
763562,1,305,180,142,6227,3,7,0,
764643,1,308,206,190,2540,2,6,0,
765043,1,358,233,189,11160,4,6,0,
765846,1,349,262,108,6913,4,6,0,
767325,1,413,307,122,11320,4,6,0,
767728,1,310,230,116,5900,4,6,0,
767735,1,309,228,115,6007,4,6,0,
767737,1,308,228,116,5900,4,6,0,
767742,1,308,228,117,5953,4,6,0,
768211,1,500,303,198,8313,4,6,0,
769016,1,345,259,237,16247,4,6,0,
769175,1,349,260,114,7460,4,7,0,
769440,1,292,212,89,1740,4,7,0,
769982,1,322,152,188,5940,3,6,0,
770973,1,337,177,163,6400,4,6,0,
772900,1,331,251,110,3387,3,6,0,
774964,1,305,228,117,5900,4,6,0,
778781,1,321,241,196,11560,4,7,0,
779160,1,399,290,81,880,2,6,0,
779666,1,379,255,207,3680,3,6,0,
784268,1,398,290,84,900,2,6,0,
785166,1,313,207,113,5187,4,7,0,
785224,1,311,229,116,5860,4,7,0,
787732,1,352,260,86,6307,4,7,0,
787738,1,354,259,88,6247,4,7,0,
790145,1,600,391,211,10727,3,6,0,
790202,1,306,230,114,6040,4,6,0,
790528,1,306,231,116,5820,4,7,0,
794348,1,281,208,105,4060,4,6,0,
794918,1,349,260,116,8133,4,7,0,
797502,1,350,262,115,7320,4,7,0,
799901,1,508,306,198,8313,4,6,0,
