1
SKU,Quantity,Length,Width,Height,Weight,Strength,Aisle,Caustic
600595,1,457,302,115,12333,4,7,0,
700125,1,414,273,80,7020,4,7,0,
700401,1,314,230,230,11740,4,6,0,
700404,1,311,229,226,11900,4,6,0,
703336,1,305,229,114,5807,4,6,0,
703675,1,304,137,175,2380,3,6,0,
704028,1,293,170,283,9773,3,6,0,
704044,1,290,172,288,9793,3,6,0,
704580,1,306,205,192,1840,2,6,0,
704587,1,306,205,192,2047,2,6,0,
704768,1,443,261,219,6340,3,6,0,
704776,1,295,191,292,9940,3,6,0,
704787,1,503,267,192,10107,3,6,0,
704880,1,455,279,286,4773,2,6,0,
704945,1,369,229,188,4573,2,6,0,
705082,1,448,330,198,16420,4,6,0,
705148,1,337,251,174,12833,4,6,0,
705423,1,348,259,115,7533,4,7,0,
705451,1,348,259,115,7573,4,7,0,
705471,1,415,273,81,6780,4,7,0,
706031,1,293,194,287,10097,3,6,0,
706248,1,400,180,224,4280,3,6,0,
707957,1,303,163,147,6533,3,7,0,
708120,1,441,409,154,18973,4,6,0,
708128,1,395,236,219,5827,3,6,0,
708680,1,296,173,283,8667,4,6,0,
710333,1,386,195,205,2207,3,6,0,
712748,1,338,224,88,4960,4,6,0,
713855,1,277,203,82,3540,4,6,0,
714146,1,292,221,134,6540,4,6,0,
716773,1,203,192,178,2540,3,6,0,
717883,1,279,207,85,3560,4,6,0,
718813,1,281,205,85,3447,4,6,0,
720141,1,205,143,140,1600,2,4,0,
721998,1,441,261,221,6387,3,6,0,
722105,1,447,262,217,6393,3,6,0,
723768,1,280,206,83,3420,4,6,0,
724174,1,310,230,115,5960,4,6,0,
724311,1,310,230,114,6047,4,7,0,
725695,1,501,239,202,7400,4,6,0,
726941,1,310,230,114,5940,4,6,0,
731214,1,353,261,165,12253,4,6,0,
732090,1,260,104,89,1673,3,7,0,
732348,1,239,224,90,2973,4,7,0,
732521,1,413,307,105,9707,4,7,0,
733187,1,306,224,165,8740,4,6,0,
733842,1,371,226,190,4567,3,6,0,
734588,1,311,231,112,5907,4,6,0,
734951,1,305,226,114,5387,4,6,0,
734994,1,306,226,118,5840,4,7,0,
735873,1,348,261,120,7920,4,6,0,
736672,1,462,301,114,12227,4,7,0,
736816,1,400,135,193,3200,3,7,0,
737147,1,305,230,114,6227,4,7,0,
737267,1,349,258,150,10653,4,7,0,
737998,1,416,309,123,10813,4,6,0,
738855,1,357,263,79,4493,4,7,0,
738996,1,344,259,114,7527,4,7,0,
739002,1,413,275,208,16880,4,7,0,
739136,1,410,270,104,8413,4,7,0,
739214,1,253,209,135,1093,3,7,0,
739306,1,309,227,115,5920,4,7,0,
739366,1,309,228,117,5827,4,7,0,
739511,1,460,304,117,11353,4,7,0,
739528,1,373,199,209,11660,3,7,0,
740973,1,412,308,121,10953,4,6,0,
741173,1,245,180,212,6620,4,6,0,
743805,1,404,130,186,3340,3,6,0,
744565,1,371,335,168,2513,3,6,0,
746241,1,348,259,68,4233,4,7,0,
746461,1,439,218,89,3980,4,7,0,
747084,1,500,304,199,8300,3,6,0,
747092,1,506,304,200,8260,4,6,0,
747504,1,308,232,178,9060,4,6,0,
749616,1,249,130,197,2960,3,6,0,
750111,1,601,281,209,10440,3,6,0,
752579,1,310,244,177,4227,3,6,0,
753048,1,201,143,219,3313,3,8,0,
755086,1,307,227,113,5740,4,6,0,
755956,1,404,137,189,3340,3,6,0,
756477,1,350,262,137,8900,4,7,0,
756546,1,440,181,163,1340,2,6,0,
759180,1,295,175,287,9700,4,6,0,
760124,1,381,282,180,6307,3,6,0,
761241,1,276,202,85,3313,4,6,0,
762119,1,276,206,86,3507,4,6,0,
763305,1,277,205,77,3120,4,7,0,
763520,1,425,323,134,2860,3,6,0,
764075,1,231,133,214,1433,3,6,0,
764806,1,457,303,116,11620,4,6,0,
765487,1,348,260,115,7500,4,7,0,
765567,1,271,206,93,3460,4,6,0,
765943,1,333,253,105,3293,3,6,0,
766166,1,347,271,68,4320,4,7,0,
766270,1,354,261,68,4280,4,7,0,
766373,1,433,213,82,4013,4,7,0,
766485,1,504,304,201,8500,4,6,0,
767505,1,349,263,116,7507,4,7,0,
767590,1,307,231,113,5820,4,6,0,
767670,1,309,229,115,5840,4,6,0,
767741,1,309,228,117,5920,4,6,0,
769520,1,311,239,231,12127,4,7,0,
769670,1,303,239,231,5640,3,6,0,
770096,1,294,166,289,9680,4,6,0,
770750,1,446,245,159,5747,3,6,0,
771117,1,309,230,116,5800,4,6,0,
771636,1,535,222,80,887,2,6,0,
776717,1,324,242,130,7300,4,7,0,
782716,1,406,255,289,6127,3,6,0,
783128,1,442,186,162,1280,2,6,0,
783157,1,350,263,115,7513,4,7,0,
783798,1,339,174,165,6407,4,6,0,
784991,1,306,228,115,5880,4,7,0,
784992,1,306,226,118,5840,4,7,0,
786662,1,450,257,227,6420,3,6,0,
787172,1,401,136,192,3347,3,6,0,
787240,1,282,206,78,3393,4,7,0,
787325,1,465,305,106,10967,4,6,0,
787729,1,352,260,87,6253,4,7,0,
795190,1,443,264,304,4407,3,6,0,
795469,1,480,331,161,5120,4,6,0,
797502,1,350,262,115,7320,4,7,0,
799529,1,312,230,227,11720,4,6,0,
