1
SKU,Quantity,Length,Width,Height,Weight,Strength,Aisle,Caustic
600591,1,463,303,115,12340,4,7,0,
601571,1,462,304,115,12100,4,6,0,
603419,1,311,230,116,5907,4,6,0,
701616,1,323,239,160,9100,4,6,0,
703338,1,303,230,115,5680,4,6,0,
704002,3,309,228,229,11553,4,7,0,
704016,3,306,225,231,11713,4,7,0,
704440,1,371,277,167,13487,4,6,0,
704480,1,567,249,277,4733,2,6,0,
704883,1,289,191,283,8307,4,6,0,
704885,1,289,184,286,8460,4,6,0,
704948,1,309,243,334,9413,3,6,0,
705151,1,314,234,118,7813,4,6,0,
705564,1,410,308,121,10940,4,6,0,
707902,1,333,191,195,2420,2,6,0,
708189,1,404,186,170,4960,3,6,0,
724280,1,314,231,114,6240,4,7,0,
733729,1,309,237,173,9667,4,6,0,
736672,1,462,301,114,12227,4,7,0,
738763,1,355,270,123,5433,4,6,0,
738991,1,349,261,115,7520,4,7,0,
738995,1,345,259,114,7480,4,7,0,
740721,1,281,207,104,4223,4,6,0,
741174,1,256,197,194,6547,4,6,0,
742102,1,262,179,112,3733,3,6,0,
746430,1,345,261,132,8227,4,7,0,
747011,1,344,257,133,8360,4,7,0,
747554,1,309,172,166,2953,3,6,0,
747686,1,356,260,116,8440,4,6,0,
747688,1,493,257,202,10380,4,6,0,
748877,1,246,121,151,1180,2,6,0,
750103,1,502,306,252,19800,4,6,0,
752576,1,482,240,90,1267,2,6,0,
757265,1,414,271,104,8320,4,6,0,
758550,1,287,138,121,2840,2,7,0,
759782,1,320,243,193,11560,4,7,0,
760124,1,381,282,180,6307,3,6,0,
761780,1,425,314,132,2853,3,6,0,
762017,1,438,219,203,11033,4,6,0,
765043,1,358,233,189,11160,4,6,0,
765711,1,306,228,228,11873,4,6,0,
765852,1,351,263,108,6880,4,6,0,
766166,1,347,271,68,4320,4,7,0,
766485,1,504,304,201,8500,4,6,0,
767590,1,307,231,113,5820,4,6,0,
768175,1,303,226,156,3680,3,6,0,
769175,1,349,260,114,7460,4,7,0,
770210,1,348,261,133,8840,4,7,0,
770374,1,310,231,112,6113,4,6,0,
772297,1,201,133,194,2007,3,7,0,
781020,1,348,261,99,5840,4,7,0,
783765,1,370,269,163,13187,4,6,0,
784147,1,349,261,116,7580,4,7,0,
784270,1,410,308,121,11173,4,6,0,
786730,1,355,261,89,6227,4,7,0,
789922,1,297,243,193,3080,3,6,0,
794864,1,441,242,152,6107,3,6,0,
796664,1,308,256,205,3113,3,6,0,
