1
SKU,Quantity,Length,Width,Height,Weight,Strength,Aisle,Caustic
600591,1,463,303,115,12340,4,7,0,
600594,1,462,303,115,12320,4,7,0,
600595,1,457,302,115,12333,4,7,0,
700859,1,331,250,107,3333,3,6,0,
703205,1,388,254,220,11920,4,6,0,
704028,1,293,170,283,9773,3,6,0,
704948,1,309,243,334,9413,3,6,0,
704963,1,287,265,205,2693,2,6,0,
705002,1,300,221,132,2840,2,6,0,
705451,1,348,259,115,7573,4,7,0,
705699,1,459,303,115,12433,4,7,0,
705911,1,293,173,285,9853,4,6,0,
707290,1,440,326,133,13920,4,6,0,
707647,1,338,253,172,13380,4,6,0,
708176,1,304,131,174,2300,3,6,0,
708183,1,304,131,177,2447,3,6,0,
708263,1,305,132,173,2733,3,6,0,
708680,1,296,173,283,8667,4,6,0,
710693,1,412,309,122,10927,4,6,0,
710865,1,287,212,172,7160,4,6,0,
716078,1,281,206,85,3507,4,6,0,
719620,1,286,214,206,8960,4,8,0,
720489,1,281,207,85,3087,4,6,0,
722105,1,447,262,217,6393,3,6,0,
722549,1,353,261,164,12187,4,6,0,
722830,1,274,209,84,3420,4,6,0,
723622,1,354,263,114,8887,4,6,0,
727488,1,281,208,86,3380,4,6,0,
729927,1,355,261,116,7573,4,7,0,
731999,1,277,207,86,3547,4,6,0,
732886,1,335,249,173,12833,4,6,0,
733145,1,305,229,115,5840,4,7,0,
733153,1,305,229,115,5900,4,7,0,
733606,1,369,279,172,12873,4,6,0,
733674,1,359,277,170,13180,4,6,0,
735620,1,449,120,91,2520,4,7,0,
736672,1,462,301,114,12227,4,7,0,
738769,1,437,324,91,5693,4,7,0,
738783,1,280,205,105,4340,4,7,0,
740702,1,390,304,158,2487,3,6,0,
740757,1,307,231,113,6160,4,6,0,
743369,1,302,179,379,6220,3,6,0,
743452,1,281,205,105,4180,4,7,0,
746430,1,345,261,132,8227,4,7,0,
747093,1,507,304,201,8300,3,6,0,
748549,1,283,134,119,2780,4,7,0,
752032,1,442,218,198,11040,4,6,0,
752304,1,429,333,195,8867,3,6,0,
752322,1,423,310,208,9640,4,6,0,
755958,1,403,133,197,3433,3,6,0,
756117,1,439,186,163,1300,2,7,0,
758869,1,245,121,152,1140,2,6,0,
759572,1,520,267,117,5873,3,6,0,
761067,1,412,307,121,10900,4,6,0,
761119,2,439,324,135,13560,4,6,0,
761332,1,322,248,120,8380,4,6,0,
761650,1,326,246,91,4647,4,6,0,
762117,1,306,228,113,6020,4,6,0,
762125,1,274,203,84,3540,4,6,0,
762545,1,304,226,115,6020,4,6,0,
762664,1,450,345,129,13900,4,6,0,
762753,1,464,302,128,14413,4,6,0,
763560,1,308,180,141,6240,3,7,0,
764806,1,457,303,116,11620,4,6,0,
765046,1,372,272,153,12127,4,6,0,
765093,1,445,246,176,9207,3,6,0,
765487,1,348,260,115,7500,4,7,0,
765844,1,348,261,108,6740,4,6,0,
765846,1,349,262,108,6913,4,6,0,
765941,1,330,249,105,3400,3,6,0,
765943,1,333,253,105,3293,3,6,0,
766131,1,443,187,163,1373,1,6,0,
766270,1,354,261,68,4280,4,7,0,
767590,1,307,231,113,5820,4,6,0,
769982,1,322,152,188,5940,3,6,0,
770971,1,311,230,116,5733,4,6,0,
771039,1,311,244,173,4807,3,6,0,
773849,1,401,274,201,5460,4,6,0,
778781,1,321,241,196,11560,4,7,0,
780866,1,307,234,174,3740,3,6,0,
782051,1,283,205,104,4200,4,7,0,
783268,1,374,278,150,12060,4,6,0,
785224,1,311,229,116,5860,4,7,0,
787557,1,351,258,69,4273,4,7,0,
788710,1,486,333,163,4280,3,6,0,
789452,1,275,210,278,11193,4,8,0,
793592,1,459,396,163,4467,3,6,0,
796664,1,308,256,205,3113,3,6,0,
798375,1,454,303,119,11887,4,7,0,
798439,1,280,204,100,4213,4,7,0,
