1
SKU,Quantity,Length,Width,Height,Weight,Strength,Aisle,Caustic
600594,1,462,303,115,12320,4,7,0,
600595,1,457,302,115,12333,4,7,0,
608864,1,412,308,120,11707,4,6,0,
700352,1,307,228,115,5827,4,6,0,
702589,1,353,261,101,3373,3,6,0,
703171,1,417,307,121,11513,4,6,0,
703674,1,303,131,177,2307,3,6,0,
704028,1,293,170,283,9773,3,6,0,
704078,1,459,305,115,11613,4,7,0,
704740,1,290,189,289,9967,3,6,0,
704757,1,501,267,192,10107,3,6,0,
704945,1,369,229,188,4573,2,6,0,
705148,1,337,251,174,12833,4,6,0,
705165,1,308,226,135,7460,4,6,0,
705196,1,456,293,156,6733,3,6,0,
705199,1,298,231,156,3320,3,6,0,
705448,1,348,259,115,7507,4,7,0,
705474,1,349,262,227,15467,4,7,0,
706636,1,414,308,120,10833,4,6,0,
707477,1,372,195,209,11573,3,7,0,
707564,1,317,167,243,5447,3,6,0,
707565,1,363,223,195,4967,3,6,0,
710303,1,309,229,118,5833,4,6,0,
710582,1,307,231,117,6313,4,7,0,
710865,1,287,212,172,7160,4,6,0,
712600,1,410,273,101,8140,4,6,0,
712748,1,338,224,88,4960,4,6,0,
712817,1,305,226,234,11533,4,7,0,
714643,1,306,228,117,5873,4,6,0,
715690,1,349,263,99,3380,3,6,0,
723509,1,362,225,195,5093,3,6,0,
723510,2,367,219,195,5840,3,6,0,
729927,1,355,261,116,7573,4,7,0,
731432,1,317,234,116,5973,4,7,0,
733148,1,306,230,115,5867,4,7,0,
733153,1,305,229,115,5900,4,7,0,
733302,1,307,229,116,5840,4,7,0,
733722,1,292,223,135,6573,4,6,0,
735614,1,275,210,109,4433,4,7,0,
737147,1,305,230,114,6227,4,7,0,
737239,1,351,259,151,10707,4,7,0,
738996,1,344,259,114,7527,4,7,0,
739002,1,413,275,208,16880,4,7,0,
739054,1,346,262,114,7593,4,7,0,
739090,1,420,276,212,16920,4,7,0,
739294,1,251,201,137,2193,3,7,0,
746037,1,457,308,119,11920,4,7,0,
747676,1,291,193,284,9980,4,6,0,
752303,1,423,330,202,9247,3,6,0,
753689,1,461,182,183,6093,3,6,0,
755258,1,325,241,131,7300,4,7,0,
755655,1,506,240,199,7467,3,6,0,
756481,1,362,261,69,4420,4,7,0,
756584,1,504,298,302,6140,3,6,0,
757670,1,458,267,198,6453,4,6,0,
759782,1,320,243,193,11560,4,7,0,
760023,1,327,242,131,7520,4,7,0,
761233,1,304,229,114,5810,4,6,0,
761241,1,276,202,85,3313,4,6,0,
761661,1,307,231,228,11947,4,6,0,
761948,1,279,206,103,4180,4,7,0,
762546,1,414,307,103,9553,4,7,0,
762765,1,415,275,82,6507,4,6,0,
762769,1,416,275,107,9440,4,6,0,
764825,1,309,229,117,5780,4,6,0,
765790,1,293,171,283,8920,4,6,0,
766377,1,455,305,121,11787,4,7,0,
766485,1,504,304,201,8500,4,6,0,
767728,1,310,230,116,5900,4,6,0,
767737,1,308,228,116,5900,4,6,0,
767741,1,309,228,117,5920,4,6,0,
768175,1,303,226,156,3680,3,6,0,
769015,1,345,262,241,16127,4,6,0,
769721,1,314,238,130,7880,4,6,0,
771039,1,311,244,173,4807,3,6,0,
771117,1,309,230,116,5800,4,6,0,
774093,1,410,205,111,2700,3,6,0,
774096,1,410,203,111,2687,3,6,0,
774097,1,404,205,110,2740,3,6,0,
774189,1,327,251,111,3427,3,6,0,
774621,1,411,272,77,6427,4,6,0,
781909,1,351,259,119,8507,4,7,0,
785166,1,313,207,113,5187,4,7,0,
788720,1,353,260,89,6207,4,7,0,
790275,2,351,260,114,7493,4,7,0,
796798,1,474,246,172,8980,3,6,0,
797724,1,242,138,150,1100,3,6,0,
