1
SKU,Quantity,Length,Width,Height,Weight,Strength,Aisle,Caustic
600591,1,463,303,115,12340,4,7,0,
600595,1,457,302,115,12333,4,7,0,
601571,1,462,304,115,12100,4,6,0,
603416,1,307,229,115,6053,4,6,0,
608864,1,412,308,120,11707,4,6,0,
700282,1,301,276,204,5413,3,6,0,
700472,1,352,262,110,8620,4,6,0,
700831,1,302,203,190,1887,2,6,0,
701080,1,305,227,117,5960,4,6,0,
702918,1,410,305,120,10740,4,6,0,
703336,1,305,229,114,5807,4,6,0,
703438,1,301,231,175,5307,4,6,0,
703671,1,306,132,175,2480,3,6,0,
703675,1,304,137,175,2380,3,6,0,
704025,1,290,170,286,9707,3,6,0,
704027,1,290,172,285,9787,3,6,0,
704043,1,371,271,71,2820,4,7,0,
704044,1,290,172,288,9793,3,6,0,
704049,1,290,172,288,9767,4,6,0,
704097,1,365,271,76,2980,4,6,0,
704256,1,367,272,71,3040,4,7,0,
704329,1,290,234,223,6253,4,6,0,
704515,1,491,297,308,6233,2,6,0,
704602,1,387,194,204,2340,3,6,0,
704801,1,387,192,205,2213,3,6,0,
704890,1,404,200,200,5400,3,6,0,
704948,1,309,243,334,9413,3,6,0,
705039,1,365,227,191,5767,3,6,0,
705459,1,348,259,115,7520,4,7,0,
706248,1,400,180,224,4280,3,6,0,
706621,1,490,258,239,5420,3,6,0,
707258,1,330,246,122,8120,4,6,0,
707700,1,204,186,112,1933,3,6,0,
708192,1,306,130,176,2020,3,6,0,
708260,1,303,134,173,2620,3,6,0,
712316,1,544,186,174,4760,3,6,0,
712748,1,338,224,88,4960,4,6,0,
712817,1,305,226,234,11533,4,7,0,
715687,1,351,261,100,3467,3,6,0,
715845,1,410,314,128,11080,4,6,0,
716169,1,278,207,85,3480,4,6,0,
716445,1,338,253,139,8700,4,6,0,
717852,1,351,260,100,3360,3,6,0,
718855,1,309,227,117,5933,4,6,0,
719522,1,286,213,209,8920,4,8,0,
720138,1,205,141,141,1807,2,4,0,
720141,1,205,143,140,1600,2,4,0,
721356,1,418,272,105,8540,4,7,0,
723266,1,305,168,168,2600,3,6,0,
723589,1,363,219,197,5920,3,6,0,
724311,1,310,230,114,6047,4,7,0,
726439,1,351,259,110,8500,4,6,0,
727935,1,277,205,86,3320,4,6,0,
728370,1,308,209,192,1833,2,6,0,
729523,1,275,203,84,3553,4,6,0,
731999,1,277,207,86,3547,4,6,0,
733729,1,309,237,173,9667,4,6,0,
733842,1,371,226,190,4567,3,6,0,
734588,1,311,231,112,5907,4,6,0,
734965,1,323,243,90,4607,4,6,0,
735614,1,275,210,109,4433,4,7,0,
736672,1,462,301,114,12227,4,7,0,
736961,1,394,194,203,2193,3,6,0,
737103,1,352,265,147,10900,4,7,0,
737112,1,306,230,113,6347,4,7,0,
737519,1,328,252,110,3287,3,6,0,
738936,1,333,191,199,2540,3,6,0,
738995,1,345,259,114,7480,4,7,0,
739002,1,413,275,208,16880,4,7,0,
739124,1,419,275,105,8333,4,7,0,
739508,1,443,327,180,18567,4,7,0,
740616,1,326,244,158,8780,4,6,0,
740716,1,308,228,115,6200,4,6,0,
742060,1,259,177,115,3580,3,6,0,
746037,1,457,308,119,11920,4,7,0,
746239,1,274,202,104,4200,4,7,0,
747075,1,500,200,202,8060,3,6,0,
747081,1,500,304,202,8313,4,6,0,
747083,1,503,303,199,8327,3,6,0,
747086,1,505,202,200,8060,3,6,0,
747087,1,436,194,145,7807,4,6,0,
747090,1,500,308,200,8267,3,6,0,
748547,1,287,138,120,2773,4,7,0,
748648,1,275,203,105,4187,4,7,0,
748688,1,358,233,189,11520,4,6,0,
748877,1,246,121,151,1180,2,6,0,
748979,1,307,240,233,6520,4,6,0,
749022,1,326,242,131,7280,4,7,0,
754323,1,446,248,172,9220,3,6,0,
755960,1,400,135,189,3327,3,6,0,
759782,1,320,243,193,11560,4,7,0,
759845,1,312,235,177,9807,4,6,0,
760193,1,500,240,197,6873,3,6,0,
761205,1,342,229,143,3607,3,6,0,
761237,1,279,209,84,3400,4,6,0,
761241,1,276,202,85,3313,4,6,0,
761664,1,277,207,85,3420,4,6,0,
761682,1,278,208,84,3560,4,6,0,
762671,1,275,189,372,6140,4,6,0,
762750,1,449,341,130,14013,4,6,0,
763305,1,277,205,77,3120,4,7,0,
763443,1,431,213,85,4007,4,7,0,
763558,1,308,178,142,6120,3,7,0,
763562,1,305,180,142,6227,3,7,0,
764806,1,457,303,116,11620,4,6,0,
765044,1,357,233,186,11553,4,6,0,
765046,1,372,272,153,12127,4,6,0,
765369,1,463,303,105,11180,4,6,0,
765563,1,272,208,91,3460,4,6,0,
765860,1,344,262,240,16087,4,6,0,
765934,1,382,203,142,1813,3,6,0,
765943,1,333,253,105,3293,3,6,0,
765975,1,324,248,106,3720,3,6,0,
766036,1,380,201,144,1820,3,6,0,
766166,1,347,271,68,4320,4,7,0,
766175,1,350,260,132,8580,4,7,0,
767136,1,448,267,214,7100,4,6,0,
767207,1,238,124,83,1607,4,7,0,
767727,1,308,229,116,5940,4,6,0,
767734,1,310,230,116,5930,4,6,0,
767737,1,308,228,116,5900,4,6,0,
767746,1,310,229,115,6000,4,6,0,
769412,1,413,274,77,6420,4,6,0,
769681,1,396,236,218,5840,3,6,0,
770026,1,411,308,126,11487,4,6,0,
770673,1,304,228,115,5860,4,7,0,
770952,1,328,254,110,3567,3,6,0,
771039,1,311,244,173,4807,3,6,0,
771636,1,535,222,80,887,2,6,0,
772900,1,331,251,110,3387,3,6,0,
774750,1,441,240,156,6127,2,6,0,
777763,1,306,253,206,2860,3,6,0,
778455,1,351,263,132,8420,4,7,0,
781504,1,456,306,124,12233,4,6,0,
783267,1,398,289,82,860,1,6,0,
784147,1,349,261,116,7580,4,7,0,
784239,1,379,200,141,1780,3,6,0,
785915,1,379,201,142,1800,2,7,0,
786442,1,313,208,112,5147,4,7,0,
787267,1,306,227,116,5913,4,6,0,
787557,1,351,258,69,4273,4,7,0,
788720,1,353,260,89,6207,4,7,0,
789285,1,369,255,205,3627,3,6,0,
789812,1,402,251,292,5520,3,6,0,
794622,1,251,136,201,2120,3,6,0,
796010,1,380,201,142,1880,3,6,0,
799888,1,253,245,205,3240,3,6,0,
