1
SKU,Quantity,Length,Width,Height,Weight,Strength,Aisle,Caustic
600591,1,463,303,115,12340,4,7,0,
600595,1,457,302,115,12333,4,7,0,
601571,1,462,304,115,12100,4,6,0,
601695,1,329,246,123,8380,4,6,0,
700125,1,414,273,80,7020,4,7,0,
700267,1,276,149,188,2500,3,7,0,
700281,1,281,148,195,2527,3,6,0,
700309,1,386,193,205,2207,3,6,0,
700363,1,306,231,115,5720,4,6,0,
700599,1,441,265,221,6440,4,6,0,
702589,1,353,261,101,3373,3,6,0,
702918,1,410,305,120,10740,4,6,0,
704025,1,290,170,286,9707,3,6,0,
704027,1,290,172,285,9787,3,6,0,
704043,1,371,271,71,2820,4,7,0,
704044,1,290,172,288,9793,3,6,0,
704049,1,290,172,288,9767,4,6,0,
704055,1,370,271,72,3060,3,7,0,
704415,1,419,265,329,5460,3,6,0,
704798,1,391,196,207,2480,3,6,0,
704898,1,394,321,203,5653,4,6,0,
704945,1,369,229,188,4573,2,6,0,
705474,1,349,262,227,15467,4,7,0,
706248,1,400,180,224,4280,3,6,0,
706621,1,490,258,239,5420,3,6,0,
708172,1,306,132,176,2300,3,6,0,
708186,1,395,185,175,5520,3,6,0,
708189,1,404,186,170,4960,3,6,0,
708192,1,306,130,176,2020,3,6,0,
708198,1,303,131,174,2847,3,6,0,
708262,1,303,129,173,1840,3,6,0,
708263,1,305,132,173,2733,3,6,0,
710638,1,308,229,231,12153,4,6,0,
711079,1,308,228,114,5940,4,6,0,
712316,1,544,186,174,4760,3,6,0,
712748,1,338,224,88,4960,4,6,0,
712818,1,307,230,228,11487,4,7,0,
713749,1,309,228,115,5760,4,6,0,
713855,1,277,203,82,3540,4,6,0,
714006,1,202,135,192,2000,3,7,0,
714798,1,277,147,195,2480,3,6,0,
715687,1,351,261,100,3467,3,6,0,
715690,1,349,263,99,3380,3,6,0,
716773,1,203,192,178,2540,3,6,0,
717582,1,247,196,145,1167,3,7,0,
718199,1,311,210,192,2373,2,6,0,
718245,1,287,284,193,8607,4,8,0,
722021,1,445,260,218,6407,3,6,0,
724311,1,310,230,114,6047,4,7,0,
724354,1,332,251,108,3447,3,6,0,
725337,1,412,307,120,10900,4,6,0,
728889,1,311,229,116,5520,4,6,0,
728923,1,336,269,104,3553,3,6,0,
729919,1,352,261,117,7687,4,7,0,
731307,1,245,147,141,1760,3,7,0,
731574,1,497,242,197,8113,4,6,0,
732529,1,414,307,105,9660,4,7,0,
733842,1,371,226,190,4567,3,6,0,
735863,1,310,227,116,6113,4,6,0,
736238,1,277,205,105,4120,4,7,0,
736672,1,462,301,114,12227,4,7,0,
737119,1,353,261,149,10847,4,7,0,
738980,1,349,260,115,7520,4,7,0,
739163,1,325,242,131,7427,4,7,0,
739306,1,309,227,115,5920,4,7,0,
739428,1,325,241,130,7313,4,7,0,
739731,1,245,172,88,700,3,7,0,
739991,1,395,199,175,11820,4,7,0,
740748,1,349,257,183,12247,4,6,0,
740751,1,311,218,168,8760,4,6,0,
740753,1,307,222,165,8840,4,6,0,
741171,1,242,180,206,6620,4,6,0,
741172,1,247,184,205,6520,4,6,0,
743757,1,287,139,119,2800,4,7,0,
744565,1,371,335,168,2513,3,6,0,
746037,1,457,308,119,11920,4,7,0,
746155,1,367,199,137,6067,2,6,0,
746286,1,367,199,133,5933,3,6,0,
747083,1,503,303,199,8327,3,6,0,
747084,1,500,304,199,8300,3,6,0,
747087,1,436,194,145,7807,4,6,0,
747391,1,367,201,134,6033,3,7,0,
748979,1,307,240,233,6520,4,6,0,
749236,1,312,204,110,5200,4,7,0,
750111,1,601,281,209,10440,3,6,0,
751944,1,344,259,115,7520,4,7,0,
755655,1,506,240,199,7467,3,6,0,
758086,1,283,205,104,4160,4,7,0,
758330,1,309,171,166,3167,3,6,0,
758729,1,366,225,188,5020,3,6,0,
758869,1,245,121,152,1140,2,6,0,
759528,1,311,229,117,5893,4,6,0,
760193,1,500,240,197,6873,3,6,0,
761240,1,275,203,84,3527,4,6,0,
761275,1,305,227,115,5920,4,7,0,
761695,1,304,226,115,5960,4,6,0,
761780,1,425,314,132,2853,3,6,0,
762575,1,535,224,81,867,2,6,0,
762671,1,275,189,372,6140,4,6,0,
762673,1,416,309,120,11200,4,6,0,
762730,1,349,259,149,9980,4,6,0,
762876,1,351,261,149,10840,4,7,0,
763562,1,305,180,142,6227,3,7,0,
764630,1,351,260,101,3327,3,6,0,
765093,1,445,246,176,9207,3,6,0,
765577,1,481,239,90,1273,2,6,0,
765941,1,330,249,105,3400,3,6,0,
765944,1,336,251,108,3367,3,6,0,
765974,1,329,251,109,3607,3,6,0,
766166,1,347,271,68,4320,4,7,0,
766174,1,349,263,130,8513,4,7,0,
767207,1,238,124,83,1607,4,7,0,
769600,1,372,280,150,12360,4,6,0,
769728,1,422,196,234,5560,3,6,0,
769853,1,294,172,280,8220,4,6,0,
769965,1,437,326,133,13560,4,6,0,
770374,1,310,231,112,6113,4,6,0,
770673,1,304,228,115,5860,4,7,0,
770971,1,311,230,116,5733,4,6,0,
771039,1,311,244,173,4807,3,6,0,
772413,1,318,186,212,1540,2,7,0,
774720,1,417,278,105,8740,4,7,0,
774750,1,441,240,156,6127,2,6,0,
779171,1,372,298,113,1080,2,6,0,
779666,1,379,255,207,3680,3,6,0,
780113,1,598,345,213,10547,3,6,0,
781909,1,351,259,119,8507,4,7,0,
783070,1,306,229,115,5667,4,6,0,
783096,1,334,177,175,6140,4,6,0,
783535,1,327,252,109,3460,3,6,0,
783772,1,275,202,104,4180,4,7,0,
786442,1,313,208,112,5147,4,7,0,
786452,1,325,241,131,7300,4,7,0,
787729,1,352,260,87,6253,4,7,0,
788710,1,486,333,163,4280,3,6,0,
788720,1,353,260,89,6207,4,7,0,
788876,1,248,120,150,1100,3,6,0,
789737,1,407,248,288,5500,3,6,0,
790142,1,596,279,208,10280,3,6,0,
790439,1,327,207,124,6993,3,3,0,
790777,1,300,242,123,3340,3,6,0,
792545,1,535,226,81,870,2,6,0,
793270,1,407,253,290,5500,3,6,0,
794622,1,251,136,201,2120,3,6,0,
799888,1,253,245,205,3240,3,6,0,
