1
SKU,Quantity,Length,Width,Height,Weight,Strength,Aisle,Caustic
600591,1,463,303,115,12340,4,7,0,
600595,1,457,302,115,12333,4,7,0,
700267,1,276,149,188,2500,3,7,0,
700281,1,281,148,195,2527,3,6,0,
700282,1,301,276,204,5413,3,6,0,
700309,1,386,193,205,2207,3,6,0,
700604,1,538,348,192,10560,4,6,0,
702100,1,420,308,123,11380,4,6,0,
703340,1,292,216,133,6640,4,6,0,
703671,1,306,132,175,2480,3,6,0,
703673,1,301,128,178,2320,3,6,0,
703675,1,304,137,175,2380,3,6,0,
704002,1,309,228,229,11553,4,7,0,
704025,1,290,170,286,9707,3,6,0,
704028,1,293,170,283,9773,3,6,0,
704044,1,290,172,288,9793,3,6,0,
704049,1,290,172,288,9767,4,6,0,
704322,1,418,313,120,10960,4,6,0,
704587,1,306,205,192,2047,2,6,0,
704592,1,306,205,192,1840,2,6,0,
704740,1,290,189,289,9967,3,6,0,
704885,1,289,184,286,8460,4,6,0,
704945,1,369,229,188,4573,2,6,0,
705024,1,362,270,168,13507,4,6,0,
705053,1,498,214,183,7087,3,6,0,
705156,1,337,249,173,12853,4,6,0,
705160,1,337,250,173,12993,4,6,0,
705509,1,411,276,153,13033,4,6,0,
705900,1,295,172,287,9840,4,6,0,
707671,1,346,256,173,12720,4,6,0,
708680,1,296,173,283,8667,4,6,0,
708995,1,210,165,171,1740,3,6,0,
712600,1,410,273,101,8140,4,6,0,
713677,1,481,330,163,3840,3,6,0,
716773,1,203,192,178,2540,3,6,0,
717942,1,308,229,116,5830,4,6,0,
720489,1,281,207,85,3087,4,6,0,
720600,1,308,227,115,6007,4,6,0,
722022,1,440,219,196,11007,4,6,0,
722549,1,353,261,164,12187,4,6,0,
722830,1,274,209,84,3420,4,6,0,
724280,1,314,231,114,6240,4,7,0,
724282,1,312,233,116,6120,4,7,0,
725695,1,501,239,202,7400,4,6,0,
731574,1,497,242,197,8113,4,6,0,
732529,1,414,307,105,9660,4,7,0,
733601,1,365,282,171,13113,4,6,0,
735863,1,310,227,116,6113,4,6,0,
736246,1,272,207,104,4260,4,7,0,
736672,1,462,301,114,12227,4,7,0,
737101,1,460,303,65,6847,4,7,0,
737267,1,349,258,150,10653,4,7,0,
737449,1,302,135,174,2700,3,6,0,
737519,1,328,252,110,3287,3,6,0,
739022,1,415,272,209,16893,4,7,0,
739044,1,349,257,114,7587,4,7,0,
740714,1,306,230,114,6180,4,6,0,
740716,1,308,228,115,6200,4,6,0,
740757,1,307,231,113,6160,4,6,0,
740797,1,325,238,161,9073,4,6,0,
740973,1,412,308,121,10953,4,6,0,
741175,1,245,184,214,6487,4,6,0,
743369,2,302,179,379,6220,3,6,0,
744565,1,371,335,168,2513,3,6,0,
745861,1,406,135,193,3420,3,6,0,
746378,1,173,146,189,1827,3,7,0,
747363,1,401,127,175,2040,3,6,0,
749044,1,327,241,131,7333,4,7,0,
750419,1,395,196,129,2500,3,6,0,
751518,1,462,303,115,12407,4,7,0,
753691,1,535,225,79,993,2,6,0,
754462,1,279,150,194,2493,3,7,0,
755253,1,277,153,195,2513,4,7,0,
755655,1,506,240,199,7467,3,6,0,
755956,1,404,137,189,3340,3,6,0,
755960,1,400,135,189,3327,3,6,0,
759180,1,295,175,287,9700,4,6,0,
759572,1,520,267,117,5873,3,6,0,
759782,1,320,243,193,11560,4,7,0,
761073,1,410,308,121,11180,4,6,0,
761119,1,439,324,135,13560,4,6,0,
761153,1,405,307,121,10880,4,6,0,
761198,1,282,206,84,3520,4,6,0,
761682,1,278,208,84,3560,4,6,0,
762017,1,438,219,203,11033,4,6,0,
762119,1,276,206,86,3507,4,6,0,
762673,1,416,309,120,11200,4,6,0,
762731,1,348,260,148,9987,4,6,0,
762738,1,415,277,155,12953,4,6,0,
762750,1,449,341,130,14013,4,6,0,
762769,1,416,275,107,9440,4,6,0,
763305,1,277,205,77,3120,4,7,0,
764815,1,411,309,120,11280,4,6,0,
765369,1,463,303,105,11180,4,6,0,
765941,1,330,249,105,3400,3,6,0,
765943,1,333,253,105,3293,3,6,0,
767213,1,385,226,134,7480,3,7,0,
769851,1,507,299,205,7540,4,6,0,
769927,1,253,176,181,2560,3,6,0,
769955,1,511,305,202,6980,3,6,0,
771942,1,351,259,114,7547,4,7,0,
772126,1,354,263,110,8600,4,6,0,
772295,1,347,262,77,4713,4,7,0,
772900,1,331,251,110,3387,3,6,0,
774750,1,441,240,156,6127,2,6,0,
777058,1,350,255,170,12007,4,6,0,
777342,1,450,249,162,4360,3,6,0,
777882,1,345,195,150,5833,3,6,0,
778781,1,321,241,196,11560,4,7,0,
780134,1,598,345,208,10627,3,6,0,
783765,1,370,269,163,13187,4,6,0,
784015,1,503,240,199,8120,4,6,0,
785728,1,593,280,207,10300,3,6,0,
785841,1,496,243,202,8180,4,6,0,
786730,1,355,261,89,6227,4,7,0,
787240,1,282,206,78,3393,4,7,0,
788710,1,486,333,163,4280,3,6,0,
789922,1,297,243,193,3080,3,6,0,
793270,1,407,253,290,5500,3,6,0,
794818,1,405,131,188,3380,3,6,0,
794864,1,441,242,152,6107,3,6,0,
794985,1,449,268,218,6220,3,6,0,
795469,1,480,331,161,5120,4,6,0,
