1
SKU,Quantity,Length,Width,Height,Weight,Strength,Aisle,Caustic
600591,1,463,303,115,12340,4,7,0,
600594,1,462,303,115,12320,4,7,0,
601032,1,464,301,115,12333,4,7,0,
601472,1,290,252,224,2687,3,7,0,
601571,1,462,304,115,12100,4,6,0,
700859,1,331,250,107,3333,3,6,0,
701080,1,305,227,117,5960,4,6,0,
701172,1,356,262,158,12227,4,6,0,
703675,1,304,137,175,2380,3,6,0,
703896,1,381,246,141,5900,3,6,0,
704014,1,307,226,231,11680,4,7,0,
704025,1,290,170,286,9707,3,6,0,
704027,1,290,172,285,9787,3,6,0,
704044,1,290,172,288,9793,3,6,0,
704415,1,419,265,329,5460,3,6,0,
704584,1,306,205,192,1860,2,6,0,
704759,1,445,261,215,6413,3,6,0,
705423,1,348,259,115,7533,4,7,0,
707700,1,204,186,112,1933,3,6,0,
708183,1,304,131,177,2447,3,6,0,
708186,1,395,185,175,5520,3,6,0,
712259,1,401,205,179,2453,4,7,0,
715687,1,351,261,100,3467,3,6,0,
717916,1,330,249,139,8673,4,6,0,
718316,1,275,204,105,4147,4,7,0,
718523,1,278,205,84,3467,4,6,0,
718813,1,281,205,85,3447,4,6,0,
719620,1,286,214,206,8960,4,8,0,
721356,1,418,272,105,8540,4,7,0,
722830,1,274,209,84,3420,4,6,0,
723015,1,498,383,186,4820,3,6,0,
723622,1,354,263,114,8887,4,6,0,
724016,1,202,133,195,2000,3,7,0,
724280,1,314,231,114,6240,4,7,0,
728931,1,339,259,104,3213,3,6,0,
730889,1,304,256,206,2540,2,6,0,
731404,1,415,303,105,9693,4,7,0,
733715,1,292,224,135,6507,4,6,0,
734965,1,323,243,90,4607,4,6,0,
736672,1,462,301,114,12227,4,7,0,
738985,1,350,261,115,7480,4,7,0,
739002,1,413,275,208,16880,4,7,0,
739093,1,414,273,105,8413,4,7,0,
739139,1,419,273,105,8507,4,7,0,
739528,1,373,199,209,11660,3,7,0,
739743,1,280,215,96,3240,4,7,0,
739757,1,455,305,117,11213,4,7,0,
740714,1,306,230,114,6180,4,6,0,
740757,1,307,231,113,6160,4,6,0,
744565,1,371,335,168,2513,3,6,0,
746155,1,367,199,137,6067,2,6,0,
746872,1,367,198,137,5913,3,6,0,
747075,1,500,200,202,8060,3,6,0,
747086,1,505,202,200,8060,3,6,0,
748724,1,352,262,88,6240,4,7,0,
749084,1,327,241,131,7360,4,7,0,
749881,1,349,258,109,8580,4,6,0,
750108,1,502,306,252,19800,4,6,0,
754462,1,279,150,194,2493,3,7,0,
754595,1,311,207,191,2327,2,6,0,
757670,1,458,267,198,6453,4,6,0,
759662,1,397,289,82,870,2,6,0,
760192,1,293,168,290,8120,4,6,0,
760193,1,500,240,197,6873,3,6,0,
760390,1,305,233,120,6053,4,6,0,
761221,1,307,231,228,11800,4,6,0,
761256,1,327,245,91,4580,4,6,0,
761446,1,279,204,104,4147,4,7,0,
761695,1,304,226,115,5960,4,6,0,
761884,1,215,183,174,1687,3,7,0,
762671,1,275,189,372,6140,4,6,0,
763520,1,425,323,134,2860,3,6,0,
763551,1,304,177,145,6520,3,7,0,
764630,1,351,260,101,3327,3,6,0,
765043,1,358,233,189,11160,4,6,0,
765686,1,306,230,226,12000,4,6,0,
765790,1,293,171,283,8920,4,6,0,
765844,1,348,261,108,6740,4,6,0,
765943,1,333,253,105,3293,3,6,0,
765976,1,329,252,108,3547,3,6,0,
766166,1,347,271,68,4320,4,7,0,
766174,1,349,263,130,8513,4,7,0,
767207,1,238,124,83,1607,4,7,0,
767734,1,310,230,116,5930,4,6,0,
767737,1,308,228,116,5900,4,6,0,
768131,1,308,231,110,6307,4,7,0,
768957,1,304,227,114,6193,4,6,0,
769678,1,376,281,150,12140,4,6,0,
769853,1,294,172,280,8220,4,6,0,
770803,1,577,255,182,2807,3,6,0,
771039,1,311,244,173,4807,3,6,0,
772297,1,201,133,194,2007,3,7,0,
780141,1,595,345,211,10533,3,6,0,
783535,1,327,252,109,3460,3,6,0,
789416,1,399,294,114,1080,2,6,0,
789452,1,275,210,278,11193,4,8,0,
790202,1,306,230,114,6040,4,6,0,
790439,1,327,207,124,6993,3,3,0,
793270,1,407,253,290,5500,3,6,0,
793592,1,459,396,163,4467,3,6,0,
795108,1,253,183,129,2053,3,6,0,
795469,1,480,331,161,5120,4,6,0,
